Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2023 [YR2023]
Armenia,ARM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9,8.2
Armenia,ARM,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,10.5,10
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.7658536585366,77.4658536585366
Aruba,ABW,"Population ages 80 and above, male",SP.POP.80UP.MA,758,795
Aruba,ABW,"Population ages 80 and above, female",SP.POP.80UP.FE,1541,1602
Aruba,ABW,"Population ages 65-69, male",SP.POP.6569.MA,3013,3060
Aruba,ABW,"Population ages 65-69, female",SP.POP.6569.FE,3719,3866
Aruba,ABW,"Population ages 70-74, female",SP.POP.7074.FE,2689,2821
Aruba,ABW,"Population ages 70-74, male",SP.POP.7074.MA,2150,2282
Aruba,ABW,"Population ages 75-79, female",SP.POP.7579.FE,1743,1846
Aruba,ABW,"Population ages 75-79, male",SP.POP.7579.MA,1235,1301
Aruba,ABW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.191,7.582
Aruba,ABW,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,..,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.226,76.353
Australia,AUS,"Population ages 80 and above, male",SP.POP.80UP.MA,476252,499057
Australia,AUS,"Population ages 80 and above, female",SP.POP.80UP.FE,641262,668043
Australia,AUS,"Population ages 65-69, male",SP.POP.6569.MA,628538,649317
Australia,AUS,"Population ages 65-69, female",SP.POP.6569.FE,677803,702298
Australia,AUS,"Population ages 70-74, female",SP.POP.7074.FE,594430,610917
Australia,AUS,"Population ages 70-74, male",SP.POP.7074.MA,552841,563825
Australia,AUS,"Population ages 75-79, female",SP.POP.7579.FE,453263,490519
Australia,AUS,"Population ages 75-79, male",SP.POP.7579.MA,418316,450591
Australia,AUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.3,6.9
Australia,AUS,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,3.7,3.7
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.2,83.0512195121951
Austria,AUT,"Population ages 80 and above, male",SP.POP.80UP.MA,209403,215573
Austria,AUT,"Population ages 80 and above, female",SP.POP.80UP.FE,337902,346111
Austria,AUT,"Population ages 65-69, male",SP.POP.6569.MA,234191,246585
Austria,AUT,"Population ages 65-69, female",SP.POP.6569.FE,258486,270437
Austria,AUT,"Population ages 70-74, female",SP.POP.7074.FE,225449,226221
Austria,AUT,"Population ages 70-74, male",SP.POP.7074.MA,192022,193255
Austria,AUT,"Population ages 75-79, female",SP.POP.7579.FE,186067,191925
Austria,AUT,"Population ages 75-79, male",SP.POP.7579.MA,145838,151221
Austria,AUT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.3,9.8
Austria,AUT,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,3.2,3.1
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.2951219512195,81.5414634146342
Azerbaijan,AZE,"Population ages 80 and above, male",SP.POP.80UP.MA,41055,39293
Azerbaijan,AZE,"Population ages 80 and above, female",SP.POP.80UP.FE,85185,81782
Azerbaijan,AZE,"Population ages 65-69, male",SP.POP.6569.MA,153462,166167
Azerbaijan,AZE,"Population ages 65-69, female",SP.POP.6569.FE,196695,213120
